Fiscal Year,Econmic Aid,Military
1951,924596,0
1952,767844177,0
1953,642312816,0
1954,644313082,0
1955,451156424,0
1956,423939298,0
1957,329107795,0
1958,478096526,0
1959,383867258,3077092
1960,419007595,3795359
1961,360120868,7487
1962,524028900,97838493
1963,464453870,97432752
1964,267628375,0
1965,347000791,91727668
1966,256176009,626517413
1967,41210998,47291309
1968,338163504,163206325
1969,229133912,530691621
1970,243563435,177783529
1971,314684013,3073526646
1972,561004960,1615177426
1973,566685000,1548319672
1974,248102333,11960286057
1975,1541812864,1309951456
1976,2916191829,6939416532
1977,2824669286,3806831922
1978,2823884848,3566411782
1979,2607371410,13200209643
1980,2385506954,3035189202
1981,2111732221,3869666374
1982,2083324713,3618678161
1983,1944052114,4210049164
1984,2175741409,4064571862
1985,4511662622,3239059342
1986,4295104420,3897359289
1987,2655817223,3983725835
1988,2572625128,3858937692
1989,2472447644,3708671466
1990,2374782216,3706813946
1991,3550297165,3535167142
1992,2265466845,3492301395
1993,2195177223,3867513368
1994,2148365084,3227597690
1995,2112566476,3164528270
1996,2288697732,3115715088
1997,2316381579,3049323258
1998,2137520223,3008537609
1999,1896784545,3101519601
2000,1651366590,4590838002
2001,2788270503,6275181418
2002,2354577893,6401805688
2003,2024360412,9412928114
2004,1646079640,6442266656
2005,1319456218,6442712462
2006,811287085,6313486984
2007,428655028,6373381936
2008,134514404,6348319350
2009,111355523,6289219102
2010,80996679,7329472428
2011,94399000,7718580124
2012,68577687,7998087798
2013,48390595,7384781700
2014,52347946,7557572278
2015,34322072,7870770302
2016,45875702,7378935212
2017,32593817,7428477478
2018,22799779,7079971690
2019,23624433,7391835794
2020,22042095,7294523434
2021,14323552,7057298124
2022,19915681,6600000000
2023,6757953,6295069302
2024,838602,0
,,
,,
