Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Funding Account ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Submission ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Transaction Date,Current Dollar Amount,Constant Dollar Amount,aid_type_id,aid_type_name,activity_budget_amount,submission_activity_id
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,1,Education,114,Post-Secondary Education,11420,Higher education,4,Education and Social Services,21,Higher Education,72x1021,"Agency for International Development, Development Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,209225,76,FY 2013 ASHA Award - Nazareth Academic Institute,Basic assistance award for commodities for lab and video conferencing equipment.,AID-ASHA-G-13-00021,2014-04-24,2016-12-31,2,Obligations,2014,01MAY2014,150000,181980,8,Project-type interventions - not Investment Related,500000,52599
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,1,Education,114,Post-Secondary Education,11420,Higher education,4,Education and Social Services,21,Higher Education,72x1021,"Agency for International Development, Development Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,209225,76,FY 2013 ASHA Award - Nazareth Academic Institute,Basic assistance award for commodities for lab and video conferencing equipment.,AID-ASHA-G-13-00021,2014-04-24,2016-12-31,2,Obligations,2018,01AUG2018,-150000,-171287,8,Project-type interventions - not Investment Related,500000,52599
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,7,Humanitarian Assistance,37,"Protection, Assistance and Solutions",72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,189545,76,Crisis Assistance and Recovery,"Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.",5.1.2,,,2,Obligations,2011,01DEC2010,582,746,8,Project-type interventions - not Investment Related,.,32899
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,7,Humanitarian Assistance,37,"Protection, Assistance and Solutions",72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,189545,76,Crisis Assistance and Recovery,"Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.",5.1.2,,,3,Disbursements,2011,01JAN2011,582,746,8,Project-type interventions - not Investment Related,.,32899
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,8,Program Support,41,Direct Administrative Costs,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,168660,76,Administrative costs,Administrative costs,Administrative Costs,2001-10-01,2017-10-08,2,Obligations,2011,01JAN2011,1159,1486,17,Administrative costs not included elsewhere,.,11989
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,8,Program Support,41,Direct Administrative Costs,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,168660,76,Administrative costs,Administrative costs,Administrative Costs,2001-10-01,2017-10-08,3,Disbursements,2011,01JAN2011,1159,1486,17,Administrative costs not included elsewhere,.,11989
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,8,Program Support,41,Direct Administrative Costs,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,168660,76,Administrative costs,Administrative costs,Administrative Costs,2001-10-01,2017-10-08,3,Disbursements,2011,01FEB2011,-41,-52,17,Administrative costs not included elsewhere,.,11989
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,8,Program Support,41,Direct Administrative Costs,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,168660,76,Administrative costs,Administrative costs,Administrative Costs,2001-10-01,2017-10-08,3,Disbursements,2011,01MAY2011,-220,-283,17,Administrative costs not included elsewhere,.,11989
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,8,Program Support,41,Direct Administrative Costs,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,168660,76,Administrative costs,Administrative costs,Administrative Costs,2001-10-01,2017-10-08,3,Disbursements,2011,01JUN2011,-455,-583,17,Administrative costs not included elsewhere,.,11989
376,ISR,Israel,3,Middle East and North Africa,4.0,High Income Country,HIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",1,Government,1,Government - United States,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,8,Program Support,41,Direct Administrative Costs,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,168660,76,Administrative costs,Administrative costs,Administrative Costs,2001-10-01,2017-10-08,3,Disbursements,2011,01AUG2011,261,335,17,Administrative costs not included elsewhere,.,11989
